x=-0.1605000487441579   y=-0.09204233359321573
x=0.34951696238224844   y=-0.5186542333292172
x=0.35519025192406123   y=-0.1596632751269915
x=-0.17549575548199076   y=-0.06845551597248678
x=0.3379715001588649   y=-0.5093557452996234
x=0.3498756333827201   y=-0.15184814980038658
x=-0.22048670664754233   y=-0.07757043948197134
x=0.30944437611143694   y=-0.49419103657098273
x=0.3072187612699704   y=-0.13894737330367696
x=-0.19653798584051646   y=-0.07003264766647777
x=0.3147768955619119   y=-0.5045231923569242
x=0.32237905743326883   y=-0.152734616723248
x=-0.1849892179541276   y=-0.06658893741769234
x=0.32752208226578194   y=-0.508919861199772
x=0.33469695999357923   y=-0.15319356267551207
x=-0.18332807771940346   y=-0.05249846921396417
x=0.322489716373778   y=-0.5039237988688937
x=0.3389765778911122   y=-0.14603051511522608
x=-0.18907762254281546   y=-0.06359933830841907
x=0.3307729907218742   y=-0.5091763605107373
x=0.3436441463746583   y=-0.1501130091269962
x=7.422609384586858e-05   y=0.4547219404362214
x=6.934079043825245e-05   y=-0.22627510321876393
x=0.2770707380272742   y=0.0007208696973412983
x=0.010106966609031006   y=0.4410445878702952
x=0.011340882983756307   y=-0.22961757682868197
x=0.28480902103261363   y=-0.0037624481884298666
x=0.008145889843386113   y=0.4257515178390058
x=0.00831680157289818   y=-0.23873173973300615
x=0.2842365832346788   y=-0.01740823303561348
x=0.006200456317591004   y=0.43806122242461515
x=0.011224610166635349   y=-0.24039126371719077
x=0.2835252337704346   y=-0.01339518870789388
x=0.009460581653622667   y=0.4361904151032543
x=0.013365385960386255   y=-0.24174498763134955
x=0.29105398703425084   y=-0.014138523657760471
x=0.00950415660001565   y=0.4559799137158419
x=0.01484345941953246   y=-0.2130679403602018
x=0.2899983821574505   y=0.014074225970346571
x=0.010350724614666098   y=0.491383936379898
x=0.012939031329650824   y=-0.19359525667643504
x=0.28708440956117065   y=0.03242900710687968
x=0.012199862793520987   y=0.46942227068709697
x=0.014485739235575402   y=-0.2075563349620993
x=0.29171003513225413   y=0.0183547694995276
x=0.014269296165509806   y=0.477786565667341
x=0.016858249486125496   y=-0.20720768034643747
x=0.2929856183041301   y=0.02083307524917181
x=0.035224599444778786   y=0.4691461640919896
x=0.03296353560873133   y=-0.2006879175739866
x=0.31171664416990047   y=0.024271819439251736
x=0.03329147002367149   y=0.4669944323891064
x=0.03183534980262935   y=-0.20790511162670028
x=0.3103177382071312   y=0.015456505325516054
x=0.0292294687710858   y=0.4721331697078573
x=0.029598804589564418   y=-0.19884442485491124
x=0.31146239517497165   y=0.02432593541077948
x=0.025636797830893763   y=0.5153603970039498
x=0.02515977532438881   y=-0.17531238450114575
x=0.3022612064677381   y=0.050558559799111016
x=0.02190586538751073   y=0.5269297966102724
x=0.018508911528905003   y=-0.1548908031160141
x=0.2946075144410229   y=0.0657135283650104
x=0.024551360056093968   y=0.4907701134963367
x=0.024493932017130345   y=-0.1671782265796836
x=0.30251328556833623   y=0.05977337305862586
x=0.02191448867206959   y=0.49185686942740287
x=0.02260825954487023   y=-0.17214040256308943
x=0.29436675636831144   y=0.053137932273555184
x=0.030031496241918806   y=0.49927265263199305
x=0.03008032983529985   y=-0.17572081494629133
x=0.30405907504489177   y=0.04928956581257364
x=0.036044541266851145   y=0.5041885890699237
x=0.03433458919677801   y=-0.17577406067131685
x=0.310893023671889   y=0.04853884584886372
x=0.034321644862804555   y=0.5046018774776656
x=0.03371485311065467   y=-0.1690516358598432
x=0.3078964479748978   y=0.056696312980574336
x=0.04566072209084624   y=0.5210095736337523
x=0.04888602950471345   y=-0.15390610038999822
x=0.32677482090471455   y=0.07233403368665073
x=0.048268848185210156   y=0.5212119088577798
